Billing Date,Brand,Article,Site,Site Area,MRP,Promotion Name,Region,POS Billing Quantity,POS Cost,POS Gross Sales,POS Total Discount,POS Tax Amount,POS Net Sales WOT,POS RGM,Vendor,Fiber,Fabric,Brand Tag,Wash Care Instructions,C Technique,Broad Craft,Handloom Mark,Silk Mark,Type,Style Code,Craft Code,Site Name,Bin
2023-04-05,Biba,4202673296,ST18,B,5675,P24,R4,1,0.46098534333439734,5675,484.3448446360954,259.53275776819527,4931.122397595709,4930.661412252375,V1,Cotton,Plain,Biba Plain Saree,Handwash Separately,C5,B1,yes,no,Woven,4202673,C5,ST18B,5000-5999
2023-03-20,Biba,8164438132,ST01,C,3535,P14,R2,1,0.49557979000486263,3535,727.9129097570558,140.3543545121472,2666.732735730797,2666.237155940792,V2,Cotton,Plain,Biba Plain Saree,Handwash Separately,C6,B1,yes,no,Printed,8164438,C6,ST01C,3000-3999
2023-01-07,Ciba,3740806657,ST29,B,9833,P34,R4,1,0.45505162506277547,9833,1652.088054321511,409.0455972839245,7771.866348394565,7771.411296769502,V3,Cotton,Satin,Ciba Satin Saree,Handwash Separately,C3,B1,yes,no,Embroidered,3740806,C3,ST29B,9000-9999
2023-02-05,Biba,9106211375,ST24,A,2513,P16,R2,1,0.46251494008027555,2513,279.18670557939924,111.69066472103005,2122.122629699571,2121.6601147594906,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C2,B2,yes,no,Woven,9106211,C2,ST24A,2000-2999
2023-01-23,Aiba,5854277108,ST34,B,9770,P23,R2,1,0.48873162619455734,9770,1522.2031021479336,412.3898448926033,7835.407052959463,7834.918321333268,V5,Modal,Plain,Aiba Plain Saree,Handwash Separately,C4,B2,yes,no,Tie-Dyed,5854277,C4,ST34B,9000-9999
2023-02-03,Aiba,8794832798,ST16,B,1428,P15,R1,-1,-0.4632451353401204,-1428,-384.1404299527953,-52.19297850236023,-991.6665915448444,-991.2033464095043,V6,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B2,yes,no,Tie-Dyed,8794832,C7,ST16B,1000-1999
2023-02-14,Biba,8781041104,ST07,B,6592,P35,R1,1,0.47231462644751976,6592,1491.0132379587822,255.04933810206091,4845.937423939157,4845.4651093127095,V7,Cotton,Satin,Biba Satin Saree,Handwash Separately,C7,B3,no,no,Printed,8781041,C7,ST07B,6000-6999
2023-02-14,Aiba,2650437677,ST33,B,1149,P17,R1,1,0.49097629393510944,1149,1.1571316045190403,57.39214341977405,1090.4507249757069,1089.9597486817718,V8,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B3,no,no,Tie-Dyed,2650437,C8,ST33B,1000-1999
2023-03-01,Ciba,9159245674,ST11,B,3032,P23,R4,1,0.4800912937385634,3032,737.3382841054778,114.73308579472612,2179.928630099796,2179.4485388060575,V9,Modal,Plain,Ciba Plain Saree,Handwash Separately,C7,B3,yes,no,Woven,9159245,C7,ST11B,3000-3999
2023-03-24,Biba,4478747899,ST08,C,8882,P39,R3,0,0.0,0,0.0,0.0,0.0,0.0,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C2,B4,yes,no,Embroidered,4478747,C2,ST08C,8000-8999
2023-01-14,Aiba,8223429114,ST40,C,4641,P40,R2,1,0.4999582657545864,4641,1052.9875676613053,179.40062161693473,3408.61181072176,3408.111852456005,V1,Cotton,Crepe,Aiba Crepe Saree,Handwash Separately,C7,B1,no,no,Printed,8223429,C7,ST40C,4000-4999
2023-03-07,Biba,7611135464,ST36,C,3963,P25,R1,1,0.48077827052433353,3963,218.34732782503312,187.23263360874836,3557.4200385662184,3556.939260295694,V2,Cotton,Plain,Biba Plain Saree,Handwash Separately,C1,B1,no,no,Embroidered,7611135,C1,ST36C,3000-3999
2023-01-04,Aiba,7747593282,ST07,C,6881,P37,R1,1,0.4559827253542804,6881,145.07253892131345,336.79637305393436,6399.131088024753,6398.675105299399,V3,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C3,B1,yes,no,Embroidered,7747593,C3,ST07C,6000-6999
2023-01-20,Biba,1650746513,ST40,C,5629,P27,R2,1,0.4553346683180813,5629,871.1362648549764,237.8931867572512,4519.970548387772,4519.515213719455,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C7,B2,yes,no,Tie-Dyed,1650746,C7,ST40C,5000-5999
2023-03-19,Ciba,8240363115,ST23,A,4169,P39,R3,1,0.4828510542635764,4169,453.447901062679,185.77760494686606,3529.7744939904546,3529.2916429361912,V5,Cotton,Satin,Ciba Satin Saree,Handwash Separately,C3,B2,no,no,Woven,8240363,C3,ST23A,4000-4999
2023-01-18,Ciba,9493097686,ST39,C,7872,P21,R4,1,0.47782592583406314,7872,1338.0162617761762,326.6991869111912,6207.284551312632,6206.8067253867985,V6,Cotton,Other,Ciba Other Saree,Handwash Separately,C10,B2,no,no,Printed,9493097,C10,ST39C,7000-7999
2023-03-27,Biba,3983289329,ST21,C,1160,P1,R2,0,0.0,0,0.0,0.0,0.0,0.0,V7,Cotton,Plain,Biba Plain Saree,Handwash Separately,C10,B3,yes,no,Embroidered,3983289,C10,ST21C,1000-1999
2023-03-16,Biba,9880813599,ST22,A,8971,P37,R3,1,0.45331965292434717,8971,97.32966072015805,443.68351696399213,8429.98682231585,8429.533502662925,V8,Cotton,Plain,Biba Plain Saree,Handwash Separately,C4,B3,no,no,Woven,9880813,C4,ST22A,8000-8999
2023-03-28,Ciba,5181761327,ST30,C,1542,P14,R1,-1,-0.48100346952036527,-1542,-75.40487167976288,-73.32975641601186,-1393.2653719042253,-1392.784368434705,V9,Cotton/Silk,Chiffon,Ciba Chiffon Saree,Dry Clean only,C7,B3,no,no,Printed,5181761,C7,ST30C,1000-1999
2023-01-23,Biba,4371591355,ST26,C,8388,P31,R2,1,0.4984574209979452,8388,323.3489212020605,403.232553939897,7661.4185248580425,7660.920067437045,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C10,B4,yes,no,Tie-Dyed,4371591,C10,ST26C,8000-8999
