Billing Date,Brand,Article,Site,Site Area,MRP,Promotion Name,Region,POS Billing Quantity,POS Cost,POS Gross Sales,POS Total Discount,POS Tax Amount,POS Net Sales WOT,POS RGM,Vendor,Fiber,Fabric,Brand Tag,Wash Care Instructions,C Technique,Broad Craft,Handloom Mark,Silk Mark,Type,Style Code,Craft Code,Site Name,Bin
2023-03-09,Biba,6517116692,ST40,A,7282,P37,R4,1,3486.742249221968,7282,2170.8997133147977,255.55501433426014,4855.5452723509425,1368.8030231289745,V1,Cotton,Plain,Biba Plain Saree,Handwash Separately,C6,B1,no,no,Printed,6517116,C6,ST40A,7000-7999
2023-01-10,Ciba,9792126013,ST35,B,6891,P20,R2,1,3366.377475933448,6891,518.9714688632922,318.6014265568354,6053.427104579872,2687.0496286464245,V2,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C3,B1,no,no,Embroidered,9792126,C3,ST35B,6000-6999
2023-01-30,Aiba,2451609893,ST13,A,1373,P16,R1,1,621.9964173987985,1373,216.0285987158931,57.84857006420535,1099.1228312199014,477.1264138211029,V3,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C8,B1,no,no,Tie-Dyed,2451609,C8,ST13A,1000-1999
2023-02-08,Ciba,6919239963,ST24,A,4452,P2,R4,1,2182.635892315157,4452,1248.9469424378085,160.1526528781096,3042.900404684082,860.2645123689249,V4,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C6,B2,no,no,Embroidered,6919239,C6,ST24A,4000-4999
2023-01-01,Ciba,1418488906,ST25,B,5220,P13,R1,1,2421.383859045965,5220,1301.6557030997571,195.91721484501215,3722.4270820552306,1301.0432230092656,V5,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C4,B2,no,no,Embroidered,1418488,C4,ST25B,5000-5999
2023-01-13,Aiba,5246030481,ST20,A,1989,P23,R2,1,915.8339897622233,1989,191.846267031091,89.85768664844545,1707.2960463204636,791.4620565582403,V6,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C2,B2,no,no,Woven,5246030,C2,ST20A,1000-1999
2023-02-08,Aiba,9180621037,ST12,B,4956,P10,R3,1,2302.7626252252485,4956,953.4620725806851,200.12689637096574,3802.411031048349,1499.6484058231003,V7,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C6,B3,yes,no,Embroidered,9180621,C6,ST12B,4000-4999
2023-03-08,Biba,5460222984,ST14,A,8446,P33,R4,-1,-4137.993085433322,-8446,-805.7570233820139,-382.0121488308993,-7258.230827787086,-3120.2377423537637,V8,Cotton,Plain,Biba Plain Saree,Handwash Separately,C6,B3,yes,no,Embroidered,5460222,C6,ST14A,8000-8999
2023-01-29,Aiba,2142263936,ST06,C,5908,P1,R1,1,2852.454549691454,5908,454.47360385268246,272.67631980736587,5180.850076339952,2328.3955266484977,V9,Cotton,Organza,Aiba Organza Saree,Handwash Separately,C7,B3,no,no,Printed,2142263,C7,ST06C,5000-5999
2023-01-31,Aiba,8724253425,ST38,A,1127,P28,R2,1,562.2956682993504,1127,77.05903761279271,52.497048119360365,997.4439142678469,435.14824596849655,V10,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B4,yes,no,Embroidered,8724253,C7,ST38A,1000-1999
2023-02-25,Aiba,6135243186,ST26,B,9260,P12,R1,1,4550.701247426769,9260,45.61592047159464,460.71920397642026,8753.664875551985,4202.963628125216,V1,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B1,no,no,Embroidered,6135243,C8,ST26B,9000-9999
